ID NAP;DIRECCION;Puertos_Utilizados;Puertos_Disponibles;Latitud;Longitud
C06-R021-01;11 de Septiembre 1010, TANDIL;3;5;-37,3169677;-59,1280117
C06-R022-01;Montevideo y 11 de Septiembre , TANDIL;4;4;-37,3194679;-59,1262271
R022-02;11 de Septiembre y las Heras , TANDIL;3;5;-37,3158364;-59,1283553
R026-03;Montevideo y 11 de Septiembre, TANDIL;8;0;-37,3194679;-59,1262271
C07-R027-03;Uriburu y 11 de Septiembre, TANDIL;11;-3;-37,3122847;-59,1304442
C03-R011-01;4 de abril 1402, TANDIL;2;6;-37,3138844;-59,1350066
C03-R012-01;4 de abril 1506, TANDIL;7;1;-37,3128238;-59,135853
C03-R009-01;4 de Abril y Garibaldi , TANDIL;4;4;-37,3186692;-59,1320703
C03-R009-02;4 de Abril y Av. Marconi , TANDIL;2;6;-37,319888;-59,1313378
C03-R009-03;Garibaldi 1001, TANDIL;4;4;-37,3192923;-59,1333931
C03-R010-02;Las Heras 1090, TANDIL;3;5;-37,3176812;-59,132755
C03-R010-03;Montevideo y Colon, TANDIL;4;4;-37,3169866;-59,1348518
C03-R010-04;Pellegrini y Av Colon, TANDIL;7;1;-37,3157541;-59,1354711
C03-R011-02;4 de Abril 1306, TANDIL;1;7;-37,3151556;-59,1342423
C03-R011-03;Uriburu 1015, TANDIL;2;6;-37,3144994;-59,1362489
C03-R011-04;E.Arana 1016, TANDIL;4;4;-37,3132682;-59,1367698
C03-R012-02;Machado 1019, TANDIL;1;7;-37,3123349;-59,137398
C04-R013-01;Alsina 1010, TANDIL;2;6;-37,3177242;-59,1306975
C04-R013-02;Alsina y Av. Marconi, TANDIL;2;6;-37,3191337;-59,1299846
C04-R013-03;Garibaldi y 4 de Abril, TANDIL;5;3;-37,3186661;-59,1319859
C04-R014-02;Alsina 1108, TANDIL;4;4;-37,3168083;-59,1313217
C04-R014-03;Montevideo 1197, TANDIL;3;5;-37,3163581;-59,1333836
C04-R014-04;Pellegrini y 4 de Abril, TANDIL;7;1;-37,3151234;-59,1340991
C04-R015-01;Alsina 1402, TANDIL;2;6;-37,3132674;-59,1334468
C04-R015-02;Pellegrini y Alsina , TANDIL;6;2;-37,3144598;-59,1327427
C04-R015-03;Uriburu y 4 de Abril, TANDIL;7;1;-37,3129495;-59,135223
C04-R015-04;Arana y 4 de Abril , TANDIL;0;8;-37,3126558;-59,1356377
C04-R016-01;4 de abril 1518, TANDIL;0;8;-37,3120265;-59,1342859
C05-R017-01;Roca y Garibaldi, TANDIL;7;1;-37,3175246;-59,1291422
C05-R017-02;Av. Marconi y Roca , TANDIL;5;3;-37,3187663;-59,1284086
C05-R017-03;Garibaldi y Alsina , TANDIL;5;3;-37,3181128;-59,1305989
C05-R018-01;Montevideo 1202, TANDIL;6;2;-37,3156552;-59,1320069
C05-R018-02;Las Heras 1292, TANDIL;4;4;-37,3163134;-59,1299232
C05-R018-03;Montevideo 1199, TANDIL;1;7;-37,3158774;-59,1318689
C05-R018-04;Pellegrini 1207, TANDIL;1;7;-37,314563;-59,1324605
C05-R018-05;Pje Castelli y Pellegrini, TANDIL;0;8;-37,3143726;-59,1320376
C05-R018-06;Montevideo y Pje Castelli, TANDIL;0;8;-37,3155058;-59,1312934
C05-R019-01;Roca 1418, TANDIL;0;8;-37,3126576;-59,1320923
C05-R019-02;Pellegrini y Roca , TANDIL;4;4;-37,314077;-59,131498
C05-R019-03;Uriburu y Alsina , TANDIL;4;4;-37,3133721;-59,1332376
C05-R019-04;Arana y Alsina , TANDIL;6;2;-37,3122696;-59,1338865
C05-R020-01;Roca 1298, TANDIL;7;1;-37,3115594;-59,1327182
C05-R020-02;Av. Machado y Alsina , TANDIL;2;6;-37,3111744;-59,1345614
C06-R021-02;11 de Septiembre y Av Marconi, TANDIL;4;4;-37,3182204;-59,1269469
C06-R021-03;Garibaldi y Roca , TANDIL;2;6;-37,3175594;-59,1290356
C06-R021-04;Las Heras y Roca , TANDIL;3;5;-37,3164753;-59,1297419
C06-R022-02;11 de Septiembre y las Heras , TANDIL;1;7;-37,3158409;-59,1284854
C06-R022-03;Roca y Montevideo, TANDIL;4;4;-37,3153462;-59,1305071
C06-R022-04;Pellegrini y Roca , TANDIL;5;3;-37,3139807;-59,1311505
C06-R023-01;11 de septiembre y Uriburu , TANDIL;7;1;-37,3123149;-59,1305187
C06-R023-03;Uriburu y Roca , TANDIL;6;2;-37,3128346;-59,1318969
C06-R023-04;Arana y Roca , TANDIL;2;6;-37,3116769;-59,1324541
C06-R024-01;Arana y 11 de Septiembre , TANDIL;7;1;-37,3109563;-59,131361
C07-R026-03;11 de septiembre 1199, TANDIL;7;1;-37,3147385;-59,1289565
C01-R001-01;Garibaldi y Gral Paz, TANDIL;2;6;-37,31972367;-59,13540555
